iter	MultiClass
146	0.7934920575
147	0.7934136993
148	0.7933633699
149	0.7932372556
150	0.7931768063
151	0.7931385383
152	0.7930342563
153	0.7930021415
154	0.7929297728
155	0.7928939153
156	0.7928003011
157	0.7927311004
158	0.7926154237
159	0.792570652
160	0.7924955195
161	0.7924365447
162	0.7923802335
163	0.7923249128
164	0.7922533007
165	0.7922138313
166	0.7921678546
167	0.7921253491
168	0.792080958
169	0.7920294664
170	0.7919779061
171	0.7919255377
172	0.7918716548
173	0.7918441216
174	0.7917846005
175	0.7917088195
176	0.7916728974
177	0.7916114616
178	0.791558904
179	0.7915212459
180	0.7914694782
181	0.7914246547
182	0.7913439542
183	0.7913102234
184	0.7912768862
185	0.7912120498
186	0.7911688725
187	0.7911069599
188	0.7910695185
189	0.791029597
190	0.7910056055
191	0.7909673426
192	0.790916633
193	0.7908595781
194	0.7907771602
195	0.7907318067
196	0.7906740813
197	0.7906395717
198	0.7906018675
199	0.7905609251
200	0.7905105088
201	0.790460592
202	0.7903974675
203	0.7903255235
204	0.7902711525
205	0.7902192528
206	0.790176427
207	0.7901331742
208	0.7900927836
209	0.7900654062
210	0.7900381905
211	0.789998059
212	0.789926332
213	0.7898835908
214	0.7898601011
215	0.7898363702
216	0.7897877873
217	0.7897510399
218	0.7897096801
219	0.7896788142
220	0.7896366518
221	0.7895864739
222	0.7895240623
223	0.7894844535
224	0.7894376934
225	0.7894102225
226	0.7893752381
227	0.7893127919
228	0.7892484166
229	0.789213626
230	0.7891523699
231	0.7891193171
232	0.7890836087
233	0.7889994497
234	0.7889376708
235	0.7888934198
236	0.7888279332
237	0.7887942941
238	0.7887732205
239	0.7887380612
240	0.7887128338
241	0.788671167
242	0.7886273753
243	0.7885932934
244	0.7885684899
245	0.7885366958
246	0.7884953733
247	0.7884311521
248	0.7883932787
249	0.7883448616
250	0.7883204928
251	0.7882804774
252	0.7882323972
253	0.7881869816
254	0.7881456094
255	0.7881046792
256	0.7880674272
257	0.7880265627
258	0.7879746929
259	0.7879268884
260	0.7878899736
261	0.7878487449
262	0.7878093065
263	0.7877621866
264	0.7877304196
265	0.7876992923
266	0.7876261438
267	0.7875959824
268	0.7875281488
269	0.7874637474
270	0.7874210731
271	0.7873922028
272	0.7873612525
273	0.7872946182
274	0.7872594851
275	0.7872166455
276	0.7871749883
277	0.7871572971
278	0.7871316111
279	0.787095688
280	0.7870719577
281	0.7870375013
282	0.7869449892
283	0.7869053863
284	0.7868608012
285	0.7868327729
286	0.7867951692
287	0.7867307456
288	0.7866843578
289	0.7866527438
290	0.786598128
291	0.7865556289
292	0.7865183703
293	0.7864852699
294	0.786454379
295	0.7864156027
296	0.7863971872
297	0.7863725591
298	0.7863457142
299	0.786316723
300	0.7862654605
301	0.7862399012
302	0.7861891554
303	0.7861322134
304	0.7860708341
305	0.7860472562
306	0.7860294528
307	0.7859996216
308	0.7859642499
309	0.7859363685
310	0.7859081637
311	0.7858870065
312	0.7858430535
313	0.7858142549
314	0.7857740376
315	0.7857416622
316	0.785700838
317	0.7856771941
318	0.7856097007
319	0.785595331
320	0.785532755
321	0.7854948589
322	0.7854661666
323	0.7854409377
324	0.7853941275
325	0.7853658795
326	0.7853310049
327	0.7853042674
328	0.7852868464
329	0.785253778
330	0.7852170867
331	0.7851928103
332	0.7851793632
333	0.7851271507
334	0.7851012019
335	0.7850738526
336	0.7850325015
337	0.7850133542
338	0.7849914063
339	0.7849718792
340	0.7849242711
341	0.7848803708
342	0.7848551206
343	0.7848034238
344	0.7847543588
345	0.7847224297
346	0.7846830098
347	0.7846537952
348	0.7846072534
349	0.7845783257
350	0.7845368146
351	0.7844856277
352	0.784474657
353	0.7844398492
354	0.7843998657
355	0.7843719556
356	0.7843430131
357	0.7843023233
358	0.7842391084
359	0.7842122842
360	0.7841795322
361	0.7841549082
362	0.7841295465
363	0.784085478
364	0.7840284833
365	0.7839767974
366	0.7839316798
367	0.78388971
368	0.7838570066
369	0.7838354308
370	0.7837887951
371	0.7837498311
372	0.7837221198
373	0.7837050572
374	0.783666413
375	0.7836513994
376	0.7836237334
377	0.7836017911
378	0.7835717481
379	0.7835465878
380	0.7834966504
381	0.7834784387
382	0.7834556477
383	0.7834362993
384	0.7834211559
385	0.7833996898
386	0.7833642313
387	0.7833425933
388	0.7832897252
389	0.7832715304
390	0.7832295749
391	0.7831768087
392	0.7831434867
393	0.7831144194
394	0.7830740107
395	0.7830472328
396	0.782996891
397	0.7829671916
398	0.782948619
399	0.7829220294
400	0.7828636198
401	0.7828308791
402	0.7827873683
403	0.7827571419
404	0.7827012499
405	0.7826891085
406	0.7826670963
407	0.7826441697
408	0.7826186311
409	0.7826058989
410	0.7825831688
411	0.7825548091
412	0.7825205315
413	0.7824978175
414	0.7824714223
415	0.782444778
416	0.7824293729
417	0.7823951255
418	0.7823637704
419	0.7823374354
420	0.7823189031
421	0.7822581561
422	0.7822288649
423	0.782196275
424	0.7821735991
425	0.782144991
426	0.7821108965
427	0.7820794338
428	0.7820200025
429	0.7819794968
430	0.7819436829
431	0.7819106676
432	0.7818881424
433	0.7818608491
434	0.7818352754
435	0.781801362
436	0.7817913476
437	0.7817580583
438	0.7817455829
439	0.7817264042
440	0.7816940166
441	0.7816779018
442	0.7816359643
443	0.7816125949
444	0.7815724891
445	0.7815433259
446	0.7815158224
447	0.7814887476
448	0.7814534805
449	0.7814351509
450	0.7814151621
451	0.7813409946
452	0.7813004058
453	0.7812803656
454	0.7812456155
455	0.7812143998
456	0.7811691677
457	0.7811557966
458	0.7811409809
459	0.7811101303
460	0.7810809881
461	0.7810542387
462	0.7810307911
463	0.780995412
464	0.7809781899
465	0.7809697271
466	0.7809537263
467	0.7809229153
468	0.7809072978
469	0.7808894292
470	0.7808692022
471	0.7808437409
472	0.780816157
473	0.7807809775
474	0.780751606
475	0.7807157359
476	0.7806846516
477	0.7806610996
478	0.780643177
479	0.7806297201
480	0.7806039256
481	0.7805871713
482	0.7805333966
483	0.7804996096
484	0.7804660577
485	0.7804550192
486	0.7804379119
487	0.7803929825
488	0.7803790444
489	0.7803550089
490	0.7803179413
491	0.7802869397
492	0.7802630097
493	0.7802376807
494	0.7802124852
495	0.7801753666
496	0.7801489827
497	0.78010345
498	0.7800841582
499	0.7800663867
500	0.7800478415
501	0.7800201814
502	0.7800087559
503	0.7799865006
504	0.7799415984
505	0.7799188936
506	0.7798917954
507	0.7798759504
508	0.779829222
509	0.7798003222
510	0.7797689521
511	0.7797462603
512	0.7797010282
513	0.7796831091
514	0.7796573777
515	0.779640646
516	0.779625504
517	0.7795968265
518	0.7795628638
519	0.77952202
520	0.7795054209
521	0.7794808043
522	0.779461033
523	0.7794318109
524	0.7794149428
525	0.7793974188
526	0.7793730839
527	0.7793469821
528	0.7793355057
529	0.7793088615
530	0.7792866571
531	0.7792571511
532	0.7792323279
533	0.7791948533
534	0.7791807713
535	0.7791469971
536	0.7790896878
537	0.7790608554
538	0.77903017
539	0.7789997075
540	0.7789869223
541	0.778962866
542	0.7789357778
543	0.7788982225
544	0.7788700256
545	0.7788404415
546	0.7788262061
547	0.7787940121
548	0.7787420181
549	0.7787254176
550	0.7787032055
551	0.7786884211
552	0.778669564
553	0.7786319115
554	0.7786121871
555	0.7785985431
556	0.7785706909
557	0.7785278546
558	0.7785033772
559	0.7784289893
560	0.778401097
561	0.7783774208
562	0.7783495739
563	0.778321788
564	0.7782894873
565	0.7782717518
566	0.7782352737
567	0.7782230017
568	0.7782066462
569	0.7781871059
570	0.7781653662
571	0.7781452433
572	0.7781061069
573	0.7780954805
574	0.7780791128
575	0.7780635076
576	0.7780230191
577	0.7779560546
578	0.7779305754
579	0.7779000837
580	0.777873053
581	0.7778561022
582	0.7778378188
583	0.7778179407
584	0.7777762288
585	0.7777370854
586	0.777699197
587	0.7776601309
588	0.7776292593
589	0.7776133088
590	0.7775977866
591	0.7775628026
592	0.7775344855
593	0.7774961656
594	0.7774613247
595	0.7774378272
596	0.7773918959
597	0.7773404227
598	0.7773105794
599	0.7772888824
600	0.7772615763
601	0.777245097
602	0.7771992003
603	0.7771656385
604	0.7771521395
605	0.7771436742
606	0.7771268235
607	0.7771132693
608	0.7770934363
609	0.7770757823
610	0.7770296517
611	0.7769985111
612	0.7769871771
613	0.7769585062
614	0.7769476629
615	0.7769319321
616	0.776898917
617	0.7768822702
618	0.7768474112
619	0.7768187387
620	0.7767872236
621	0.7767578988
622	0.7767183454
623	0.7766907793
624	0.7766699105
625	0.7766265264
626	0.7765946739
627	0.7765737787
628	0.7765531486
629	0.7765275428
630	0.7765114679
631	0.7764803793
632	0.7764534988
633	0.7764397151
634	0.7764131561
635	0.7764015884
636	0.7763717813
637	0.7763506756
638	0.7763143135
639	0.7762896377
640	0.7762732438
641	0.7762569487
642	0.7762035608
643	0.7761825367
644	0.7761597963
645	0.7761251482
646	0.7761032967
647	0.7760873595
648	0.7760497729
649	0.7760320904
650	0.7760182328
651	0.7759910851
652	0.7759475606
653	0.7759179577
654	0.7759000281
655	0.7758735613
656	0.7758392928
657	0.7758143488
658	0.7757755397
659	0.7757612055
660	0.77573708
661	0.7757173254
662	0.7756858288
663	0.775659317
664	0.775644552
665	0.7756011146
666	0.7755827119
667	0.7755426676
668	0.7755144281
669	0.7754884967
670	0.775472568
671	0.7754579214
672	0.7754468335
673	0.7754357435
674	0.7754155391
675	0.7753645573
676	0.7753317582
677	0.7753161208
678	0.7752905471
679	0.775267229
680	0.7752383408
681	0.7752188071
682	0.7751813921
683	0.7751362339
684	0.775127293
685	0.7751046272
686	0.7750556141
687	0.7750429697
688	0.7750115621
689	0.7749997532
690	0.7749891028
691	0.7749715936
692	0.7749506646
693	0.7749082263
694	0.7748859791
695	0.7748540767
696	0.7748231534
697	0.7748116524
698	0.7747915589
699	0.7747454827
700	0.7747265272
701	0.7747012274
702	0.7746760753
703	0.7746652448
704	0.7746175099
705	0.7745812657
706	0.7745424344
707	0.7745280361
708	0.7745105311
709	0.7744572506
710	0.774432872
711	0.7744207916
712	0.7743941494
713	0.7743799116
714	0.7743590414
715	0.7743286598
716	0.774312526
717	0.7742816036
718	0.7742743586
719	0.7742493494
720	0.7741997492
721	0.7741765001
722	0.7741601803
723	0.7741074645
724	0.7740835714
725	0.7740632421
726	0.774043064
727	0.7740250122
728	0.7739960844
729	0.7739835773
730	0.7739546033
731	0.7739265451
732	0.7739029665
733	0.7738883346
734	0.7738747942
735	0.7738588469
736	0.7738491283
737	0.7737918425
738	0.7737769927
739	0.7737387699
740	0.7737065563
741	0.7736919062
742	0.7736640698
743	0.7736412302
744	0.7736189264
745	0.7736038341
746	0.7735885469
747	0.7735598994
748	0.7735178544
749	0.7735036417
750	0.7734711848
751	0.7734549745
752	0.7734452108
753	0.7734323989
754	0.7734154628
755	0.7733903862
756	0.7733623799
757	0.7733509597
758	0.7733274251
759	0.7733157055
760	0.7732991264
761	0.7732674955
762	0.7732490867
763	0.7732227192
764	0.7732095337
765	0.7731821537
766	0.7731531213
767	0.7731338678
768	0.7731144182
769	0.7730954406
770	0.7730831759
771	0.7730686251
772	0.7730468299
773	0.7730179755
774	0.7730070303
775	0.7729964383
776	0.7729739173
777	0.7729322991
778	0.772919893
779	0.7729039903
780	0.7728532081
781	0.7728284171
782	0.7728152619
783	0.7727972107
784	0.7727732374
785	0.7727521457
786	0.7727359513
787	0.7727206928
788	0.7727050991
789	0.7726822947
790	0.7726479429
791	0.7726036437
792	0.7725840725
793	0.7725491653
794	0.7724995393
795	0.7724756636
796	0.7724547299
797	0.7724267776
798	0.772415156
799	0.7723970044
800	0.7723720378
801	0.7723474797
802	0.7723042706
803	0.7722726089
804	0.7722434065
805	0.772221753
806	0.7722060858
807	0.772167276
808	0.7721578447
809	0.7721407985
810	0.7721137526
811	0.7720920839
812	0.7720573071
813	0.7720466197
814	0.7720304759
815	0.7719683907
816	0.77193749
817	0.7718770901
818	0.7718529609
819	0.7718281413
820	0.7717898592
821	0.7717616328
822	0.771736819
823	0.7717149007
824	0.7717047014
825	0.7716956828
826	0.7716629558
827	0.7716401536
828	0.7716337686
829	0.7716005558
830	0.7715700123
831	0.7715459262
832	0.7715377392
833	0.7715275362
834	0.7715039863
835	0.7714372244
836	0.7714083002
837	0.7713910657
838	0.7713685816
839	0.7713378634
840	0.7713176244
841	0.771293468
842	0.7712527981
843	0.7712161196
844	0.771200564
845	0.7711892008
846	0.7711669725
847	0.7711438953
848	0.7711251579
849	0.7710927212
850	0.7710736201
851	0.771054024
852	0.77103369
853	0.7710202443
854	0.7710034546
855	0.7709830677
856	0.7709630334
857	0.7709546889
858	0.7709493745
859	0.7709137902
860	0.7708961414
861	0.7708621816
862	0.7708566198
863	0.7708326274
864	0.7708116132
865	0.77079332
866	0.7707744292
867	0.7707507534
868	0.7707301531
869	0.7706941585
870	0.7706724438
871	0.7706572317
872	0.7706464011
873	0.770637112
874	0.7706212557
875	0.7705928007
876	0.7705759098
877	0.7705608325
878	0.7705319208
879	0.7704895805
880	0.7704697025
881	0.7704491066
882	0.7704234235
883	0.7704139883
884	0.7704071984
885	0.7703829991
886	0.7703484544
887	0.7703398043
888	0.7703241652
889	0.7703101053
890	0.7702865252
891	0.7702676129
892	0.7702562549
893	0.7702413904
894	0.7702273059
895	0.7702063737
896	0.7701717049
897	0.770149403
898	0.770133249
899	0.7701081119
900	0.7700887379
901	0.770061684
902	0.770044707
903	0.7700269829
904	0.7700151569
905	0.7700039602
906	0.7699771661
907	0.7699614956
908	0.7699410643
909	0.7699210695
910	0.7698963593
911	0.7698795601
912	0.7698601292
913	0.7698369185
914	0.7698176343
915	0.769809443
916	0.7697770246
917	0.7697660709
918	0.7697530457
919	0.7697337382
920	0.7697176326
921	0.7696834031
922	0.7696707089
923	0.7696596427
924	0.7696384655
925	0.7696273799
926	0.7696010238
927	0.7695856137
928	0.7695752032
929	0.7695361493
930	0.7695279831
931	0.7695166109
932	0.7694939294
933	0.7694853986
934	0.7694707923
935	0.7694424679
936	0.7694190373
937	0.7694036522
938	0.7693777811
939	0.7693501537
940	0.7693347217
941	0.7693179921
942	0.7693086423
943	0.7692848947
944	0.7692386498
945	0.7692117915
946	0.7692015543
947	0.7691761562
948	0.7691562205
949	0.7691215571
950	0.7691112863
951	0.7690774555
952	0.7690500107
953	0.7690241234
954	0.7690080401
955	0.7689893606
956	0.7689677771
957	0.7689509673
958	0.7689374753
959	0.7689199517
960	0.7688925166
961	0.768874372
962	0.768853395
963	0.7688289813
964	0.7688022823
965	0.7687905711
966	0.7687735
967	0.7687509443
968	0.7687425102
969	0.7687139751
970	0.7686881907
971	0.7686724004
972	0.7686612452
973	0.7686451751
974	0.7686194094
975	0.7685971812
976	0.7685783853
977	0.768550398
978	0.7685418695
979	0.7685226849
980	0.7684998334
981	0.7684648023
982	0.7684256007
983	0.7684083716
984	0.7683761738
985	0.7683628415
986	0.7683468672
987	0.7683232261
988	0.7683144081
989	0.7682963646
990	0.7682865092
991	0.7682668974
992	0.7682498742
993	0.7682263169
994	0.7682051996
995	0.7681888032
996	0.7681759509
997	0.7681578606
998	0.7681436691
999	0.7681199738
